created_at,category,title,handle,url,vendor,product_type,variants,price_min,price_max,tags
2025-01-28T09:53:04+09:00,誕生日記念,フワワ・アビスガード 誕生日記念2025,fuwawaabyssgard_bd2025,https://shop.hololivepro.com/products/fuwawaabyssgard_bd2025,FUWAMOCO,,8,0,19360,Generation_hololiveEnglish-Advent- | Group_ホロライブEnglish | Recommended_MERCH | Recommended_デジタルコンテンツ | Talent_フワワ・アビスガード | デジタルコンテンツ | フワモコ | 受注生産商品
2025-01-28T11:03:21+09:00,誕生日記念,モココ・アビスガード 誕生日記念2025,mococoabyssgard_bd2025,https://shop.hololivepro.com/products/mococoabyssgard_bd2025,FUWAMOCO,,7,550,19470,Generation_hololiveEnglish-Advent- | Group_ホロライブEnglish | Recommended_MERCH | Recommended_デジタルコンテンツ | Talent_モココ・アビスガード | デジタルコンテンツ | フワモコ | 受注生産商品
2025-01-28T14:22:22+09:00,誕生日記念,儒烏風亭らでん 誕生日記念2025,juufuuteiraden_bd2025,https://shop.hololivepro.com/products/juufuuteiraden_bd2025,Juufuutei Raden,,6,1100,14410,Generation_ReGLOSS | Group_hololiveDEV_IS | Recommended_MERCH | Recommended_デジタルコンテンツ | Talent_儒烏風亭らでん | デジタルコンテンツ | 受注生産商品
2025-01-28T17:14:20+09:00,その他,儒烏風亭らでん きのこダンスグッズ,juufuuteiraden_mushroomdancemerch,https://shop.hololivepro.com/products/juufuuteiraden_mushroomdancemerch,Juufuutei Raden,,4,1650,7480,Generation_ReGLOSS | Group_hololiveDEV_IS | Recommended_MERCH | Talent_儒烏風亭らでん | 受注生産商品
2025-01-31T09:31:39+09:00,誕生日記念,ジュラルド・ティー・レクスフォード 誕生日記念2025,jurardtrexford_bd2025,https://shop.hololivepro.com/products/jurardtrexford_bd2025,Jurard T Rexford,,7,0,15510,Generation_ARMIS | Group_ホロスターズEnglish | Recommended_MERCH | Recommended_デジタルコンテンツ | Talent_ジュラルド・ティー・レクスフォード | デジタルコンテンツ | 受注生産商品
2025-01-31T09:56:21+09:00,LIVE/イベント物販,白上フブキ1stソロライブ FBKINGDOM “ANTHEM”ライブグッズ 2次販売,shirakamifubuki_1stlive_2nd,https://shop.hololivepro.com/products/shirakamifubuki_1stlive_2nd,Shirakami Fubuki,,10,500,13400,Generation_ホロライブ1期生 | Generation_ホロライブゲーマーズ | Group_ホロライブ | Recommended_MERCH | ShirakamiFubuki_1stlive | Talent_白上フブキ | 受注生産商品
2025-02-04T10:44:09+09:00,誕生日記念,癒月ちょこ 誕生日記念2025,yuzukichoco_bd2025,https://shop.hololivepro.com/products/yuzukichoco_bd2025,Yuzuki Choco,,6,2750,20900,Generation_ホロライブ2期生 | Group_ホロライブ | Recommended_MERCH | Recommended_デジタルコンテンツ | Talent_癒月ちょこ | デジタルコンテンツ | 受注生産商品
2025-02-04T16:21:16+09:00,ボイス,雪花ラミィ「癒しの雪見宿」ASMRボイス,yukihanalamy_asmr_comfysnowwatchinginn,https://shop.hololivepro.com/products/yukihanalamy_asmr_comfysnowwatchinginn,Yukihana Lamy,,4,1000,6000,Generation_ホロライブ5期生 | Group_ホロライブ | Recommended_デジタルコンテンツ | Talent_雪花ラミィ | デジタルのみ | デジタルコンテンツ
2025-02-06T09:24:46+09:00,カード/書籍,hololive OFFICIAL CARD GAME スタートデッキ「白 轟はじめ」,hololiveofficialcardgame_hsd05,https://shop.hololivepro.com/products/hololiveofficialcardgame_hsd05,hololive production official shop,,1,990,990,_ng_with_normal_group:hcg2409 | addons:shipment:ignore_order | hololiveofficialcardgame | Recommended_MERCH
2025-02-06T10:27:00+09:00,カード/書籍,hololive OFFICIAL CARD GAME スタートデッキ「緑 風真いろは」,hololiveofficialcardgame_hsd06,https://shop.hololivepro.com/products/hololiveofficialcardgame_hsd06,hololive production official shop,,1,990,990,_ng_with_normal_group:hcg2409 | addons:shipment:ignore_order | hololiveofficialcardgame | Recommended_MERCH
